Date,Open,High,Low,Close,Adj Close,Volume
2018-09-21,56.709999,56.735001,56.084999,56.424999,55.502499,1098000
2018-09-24,56.244999,56.244999,55.235001,55.325001,54.420494,1670200
2018-09-25,55.695000,55.759998,54.764999,54.915001,54.017189,1037200
2018-09-26,54.959999,55.525002,53.965000,54.224998,53.372002,887400
2018-09-27,54.560001,55.200001,54.110001,54.474998,53.618069,1059200
2018-09-28,54.084999,54.919998,54.029999,54.580002,53.721420,951600
2018-10-01,55.634998,56.285000,55.424999,55.869999,54.991131,1434000
2018-10-02,55.674999,56.825001,55.615002,56.575001,55.685032,1068000
2018-10-03,57.349998,57.610001,56.599998,56.865002,55.970482,1197600
2018-10-04,56.599998,56.634998,54.615002,55.570000,54.695843,2310800
2018-10-05,55.759998,55.880001,53.560001,54.509998,53.652523,1707400
2018-10-08,53.709999,54.990002,53.080002,54.775002,53.913353,1523200
2018-10-09,54.570000,55.070000,53.724998,54.410000,53.554089,1167200
2018-10-10,54.310001,54.310001,49.169998,49.404999,48.627819,3250800
2018-10-11,48.564999,49.645000,45.174999,46.005001,45.281307,5071400
2018-10-12,48.259998,48.325001,45.779999,47.575001,46.826614,3298400
2018-10-15,47.410000,48.410000,47.064999,47.119999,46.378773,1873000
2018-10-16,48.375000,50.259998,47.985001,50.105000,49.316814,2335400
2018-10-17,49.575001,50.235001,48.325001,49.674999,48.893574,2673200
2018-10-18,49.130001,49.514999,46.910000,47.705002,46.954575,3110400
2018-10-19,48.230000,49.049999,47.584999,48.070000,47.313828,2050800
2018-10-22,48.500000,48.750000,46.919998,47.400002,46.654362,1947200
2018-10-23,45.020000,47.325001,44.299999,46.680000,45.945690,3765400
2018-10-24,47.099998,47.294998,43.014999,43.305000,42.623787,2971800
2018-10-25,44.110001,46.025002,43.584999,45.419998,44.705517,2266800
2018-10-26,44.150002,45.009998,42.439999,43.750000,43.061783,3782600
2018-10-29,44.875000,45.605000,40.730000,42.494999,41.826523,3332000
2018-10-30,42.404999,44.834999,42.325001,44.715000,44.011600,2018200
2018-10-31,45.950001,47.154999,45.630001,45.980000,45.256699,2192400
2018-11-01,46.610001,47.490002,45.900002,47.415001,46.669128,1934000
2018-11-02,48.395000,48.480000,45.674999,46.705002,45.970295,2497000
2018-11-05,46.834999,48.075001,46.735001,47.799999,47.048069,1422000
2018-11-06,47.950001,48.889999,47.744999,48.805000,48.037270,1158400
2018-11-07,50.029999,52.009998,49.535000,51.860001,51.044209,2409400
2018-11-08,51.845001,52.639999,51.470001,52.150002,51.329651,2351400
2018-11-09,51.500000,51.740002,50.310001,50.965000,50.163288,2504400
2018-11-12,50.700001,50.759998,47.134998,47.415001,46.669128,2846000
2018-11-13,47.259998,48.075001,46.310001,46.794998,46.058884,1899200
2018-11-14,47.810001,48.005001,44.869999,45.660000,44.941738,2011800
2018-11-15,45.220001,47.235001,44.189999,46.919998,46.181919,2678200
2018-11-16,46.330002,48.095001,46.105000,47.595001,46.846294,1843000
2018-11-19,47.320000,47.450001,44.660000,45.395000,44.680908,1819200
2018-11-20,43.314999,43.625000,41.779999,42.290001,41.624748,3707000
2018-11-21,43.025002,43.380001,42.320000,42.349998,41.683804,1424600
2018-11-23,41.560001,42.029999,41.355000,41.404999,40.753674,906200
2018-11-26,42.500000,43.384998,42.340000,43.230000,42.549965,1943800
2018-11-27,42.580002,43.810001,42.025002,43.794998,43.106075,1459200
2018-11-28,44.700001,47.115002,44.360001,47.105000,46.364010,2386800
2018-11-29,46.930000,47.755001,46.230000,46.955002,46.216370,1712400
2018-11-30,46.650002,48.220001,46.555000,48.020000,47.264614,1778000
2018-12-03,50.720001,50.720001,48.915001,49.785000,49.001850,2650600
2018-12-04,49.220001,49.404999,45.029999,45.305000,44.592319,4128200
2018-12-06,42.799999,44.715000,40.915001,44.680000,43.977150,6464800
2018-12-07,44.580002,45.560001,41.180000,41.735001,41.078480,4259800
2018-12-10,41.529999,42.305000,39.115002,41.924999,41.265488,4669400
2018-12-11,43.814999,43.825001,40.855000,41.634998,40.980049,3319400
2018-12-12,43.244999,43.965000,42.389999,42.459999,41.792076,2537400
2018-12-13,42.770000,43.514999,42.115002,42.759998,42.087360,1973400
2018-12-14,41.490002,41.915001,39.840000,40.169998,39.538097,3760800
2018-12-17,39.500000,40.125000,36.945000,37.730000,37.136478,4306200
2018-12-18,38.619999,39.250000,37.250000,38.020000,37.421921,2991800
2018-12-19,38.180000,39.924999,35.549999,36.290001,35.719131,5050800
2018-12-20,35.750000,36.099998,33.125000,34.145000,33.607876,5613200
2018-12-21,34.294998,35.869999,32.060001,32.240002,31.732847,4600400
