Date,Open,High,Low,Close,Adj Close,Volume
2012-05-01,6.916667,7.116250,6.845000,7.022500,6.780369,2140800
2012-05-02,6.950417,7.013750,6.891667,7.001667,6.760253,1128000
2012-05-03,7.001667,7.032917,6.862917,6.910000,6.671748,1944000
2012-05-04,6.804583,6.822083,6.622500,6.635833,6.407032,2308800
2012-05-07,6.542917,6.661250,6.540417,6.600833,6.373243,1584000
2012-05-08,6.497917,6.520833,6.315000,6.485833,6.262205,3172800
2012-05-09,6.317917,6.472500,6.229167,6.370833,6.151170,5796000
2012-05-10,6.443750,6.501250,6.350417,6.383750,6.163642,2006400
2012-05-11,6.291250,6.490000,6.278750,6.351250,6.132262,1124800
2012-05-14,6.195000,6.265000,6.112500,6.155000,5.942780,2021600
2012-05-15,6.155000,6.253750,6.036250,6.067500,5.858297,1048000
2012-05-16,6.140000,6.218750,6.045000,6.046250,5.837779,854400
2012-05-17,6.056250,6.057500,5.815000,5.815000,5.614502,2022400
2012-05-18,5.877500,5.880000,5.667500,5.698750,5.502260,1878400
2012-05-21,5.753750,5.905000,5.727500,5.902500,5.698986,1759200
2012-05-22,5.918750,6.000000,5.820000,5.902500,5.698986,1920000
2012-05-23,5.785000,5.903750,5.625000,5.886250,5.683296,1936000
2012-05-24,5.925000,5.948750,5.803750,5.947500,5.742435,1368800
2012-05-25,5.917500,5.946250,5.792500,5.833750,5.632606,852000
2012-05-29,5.968750,6.060000,5.921250,6.015000,5.807606,1812800
2012-05-30,5.862500,5.867500,5.750000,5.786250,5.586743,1324000
2012-05-31,5.795000,5.881250,5.653750,5.756250,5.557778,1912800
2012-06-01,5.535000,5.563750,5.356250,5.367500,5.182431,2305600
