Date,Open,High,Low,Close,Adj Close,Volume
2015-08-26,26.772499,27.472500,26.262501,27.422501,25.074043,387098400
2015-08-27,28.057501,28.309999,27.504999,28.230000,25.812382,338464400
2015-08-28,28.042500,28.327499,27.885000,28.322500,25.896963,212657600
2015-08-31,28.007500,28.632500,28.000000,28.190001,25.775812,224917200
2015-09-01,27.537500,27.969999,26.840000,26.930000,24.623716,307383600
2015-09-02,27.557501,28.084999,27.282499,28.084999,25.679806,247555200
2015-09-03,28.122499,28.195000,27.510000,27.592501,25.229479,212935600
2015-09-04,27.242500,27.612499,27.127501,27.317499,24.978033,199985200
2015-09-08,27.937500,28.139999,27.580000,28.077499,25.672947,219374400
2015-09-09,28.440001,28.504999,27.442499,27.537500,25.179192,340043200
2015-09-10,27.567499,28.320000,27.475000,28.142500,25.732378,251571200
2015-09-11,27.947500,28.552500,27.940001,28.552500,26.107269,199662000
2015-09-14,29.145000,29.222500,28.715000,28.827499,26.358711,233453600
2015-09-15,28.982500,29.132500,28.605000,29.070000,26.580450,173364800
2015-09-16,29.062500,29.135000,28.860001,29.102501,26.610170,148694000
2015-09-17,28.915001,29.122499,28.430000,28.480000,26.040974,256450400
2015-09-18,28.052500,28.575001,27.967501,28.362499,25.933538,297141200
2015-09-21,28.417500,28.842501,28.415001,28.802500,26.335857,200888000
2015-09-22,28.344999,28.545000,28.129999,28.350000,25.922108,201384800
2015-09-23,28.407499,28.680000,28.325001,28.580000,26.132416,143026800
2015-09-24,28.312500,28.875000,28.092501,28.750000,26.287857,200878000
2015-09-25,29.110001,29.172501,28.504999,28.677500,26.221563,224607600
2015-09-28,28.462500,28.642500,28.110001,28.110001,25.702663,208436000
2015-09-29,28.207500,28.377501,26.965000,27.264999,24.930029,293461600
2015-09-30,27.542500,27.885000,27.182501,27.575001,25.213482,265892000
2015-10-01,27.267500,27.405001,26.827499,27.395000,25.048901,255716400
2015-10-02,27.002501,27.752501,26.887501,27.594999,25.231771,232079200
2015-10-05,27.469999,27.842501,27.267500,27.695000,25.323208,208258800
2015-10-06,27.657499,27.934999,27.442499,27.827499,25.444355,192787200
2015-10-07,27.934999,27.942499,27.352501,27.695000,25.323208,187062400
2015-10-08,27.547501,27.547501,27.052500,27.375000,25.030605,247918400
2015-10-09,27.500000,28.070000,27.372499,28.030001,25.629515,211064400
2015-10-12,28.182501,28.187500,27.860001,27.900000,25.510649,121868800
2015-10-13,27.705000,28.112499,27.670000,27.947500,25.554083,132197200
2015-10-14,27.822500,27.879999,27.389999,27.552500,25.192905,177849600
2015-10-15,27.732500,28.025000,27.622499,27.965000,25.570082,150694000
2015-10-16,27.945000,28.000000,27.632500,27.760000,25.382641,156930400
2015-10-19,27.700001,27.937500,27.527500,27.932501,25.540367,119036800
2015-10-20,27.834999,28.542500,27.705000,28.442499,26.006687,195871200
2015-10-21,28.500000,28.895000,28.424999,28.440001,26.004404,167180800
2015-10-22,28.582500,28.875000,28.525000,28.875000,26.402151,166616400
2015-10-23,29.174999,29.807501,29.082500,29.770000,27.220501,237467600
2015-10-26,29.520000,29.532499,28.730000,28.820000,26.351858,265335200
2015-10-27,28.850000,29.135000,28.497499,28.637501,26.184990,279537600
2015-10-28,29.232500,29.825001,29.014999,29.817499,27.263931,342205600
2015-10-29,29.674999,30.172501,29.567499,30.132500,27.551954,204909200
2015-10-30,30.247499,30.305000,29.862499,29.875000,27.316511,197461200
2015-11-02,30.200001,30.340000,29.902500,30.295000,27.700541,128813200
2015-11-03,30.197500,30.872499,30.174999,30.642500,28.018286,182076000
2015-11-04,30.782499,30.955000,30.405001,30.500000,27.887987,179544400
2015-11-05,30.462500,30.672501,30.045000,30.230000,27.759424,158210800
2015-11-06,30.277500,30.452499,30.155001,30.264999,27.791563,132169200
2015-11-09,30.240000,30.452499,30.012501,30.142500,27.679073,135485600
2015-11-10,29.225000,29.517500,29.014999,29.192499,26.806709,236511600
2015-11-11,29.092501,29.355000,28.802500,29.027500,26.655195,180872000
2015-11-12,29.065001,29.205000,28.912500,28.930000,26.565674,130102400
2015-11-13,28.799999,28.892500,28.067499,28.084999,25.789728,183249600
2015-11-16,27.844999,28.559999,27.750000,28.545000,26.212133,152426800
2015-11-17,28.730000,28.762501,28.330000,28.422501,26.099648,110467600
2015-11-18,28.940001,29.372499,28.875000,29.322500,26.926092,186698800
2015-11-19,29.410000,29.937500,29.190001,29.695000,27.268145,173183200
2015-11-20,29.799999,29.980000,29.712500,29.825001,27.387526,137148400
2015-11-23,29.817499,29.932501,29.334999,29.437500,27.031691,129930000
2015-11-24,29.332500,29.837500,29.280001,29.719999,27.291101,171212800
2015-11-25,29.802500,29.807501,29.480000,29.507500,27.095970,85553200
2015-11-27,29.572500,29.602501,29.400000,29.452499,27.045465,52185600
2015-11-30,29.497499,29.852501,29.437500,29.575001,27.157959,156721200
2015-12-01,29.687500,29.702499,29.215000,29.334999,26.937569,139409600
2015-12-02,29.334999,29.527500,29.020000,29.070000,26.694227,133546400
2015-12-03,29.137501,29.197500,28.555000,28.799999,26.446295,166278000
2015-12-04,28.822500,29.812500,28.777500,29.757500,27.325541,231108000
2015-12-07,29.745001,29.965000,29.452499,29.570000,27.153362,128336800
2015-12-08,29.379999,29.650000,29.215000,29.557501,27.141888,137238000
2015-12-09,29.410000,29.422501,28.770000,28.905001,26.542715,185445600
2015-12-10,29.010000,29.235001,28.877501,29.042500,26.668974,116850800
2015-12-11,28.797501,28.847500,28.212500,28.295000,25.982563,187544800
2015-12-14,28.045000,28.170000,27.447500,28.120001,25.821865,257274800
2015-12-15,27.985001,28.200001,27.587500,27.622499,25.365026,213292400
2015-12-16,27.767500,27.997499,27.200001,27.834999,25.560158,224954000
2015-12-17,28.004999,28.062500,27.245001,27.245001,25.018377,179091200
2015-12-18,27.227501,27.379999,26.452499,26.507500,24.341146,385813200
2015-12-21,26.820000,26.842501,26.392500,26.832500,24.639587,190362400
2015-12-22,26.850000,26.930000,26.612499,26.807501,24.616632,131157600
2015-12-23,26.817499,27.212500,26.799999,27.152500,24.933435,130629600
2015-12-24,27.250000,27.250000,26.987499,27.007500,24.800289,54281600
2015-12-28,26.897499,26.922501,26.545000,26.705000,24.522511,106816800
2015-12-29,26.740000,27.357500,26.715000,27.184999,24.963280,123724800
2015-12-30,27.145000,27.174999,26.795000,26.830000,24.637293,100855200
2015-12-31,26.752501,26.757500,26.205000,26.315001,24.164385,163649200
2016-01-04,25.652500,26.342501,25.500000,26.337500,24.185043,270597600
2016-01-05,26.437500,26.462500,25.602501,25.677500,23.578985,223164000
2016-01-06,25.139999,25.592501,24.967501,25.174999,23.117544,273829600
2016-01-07,24.670000,25.032499,24.107500,24.112499,22.141888,324377600
2016-01-08,24.637501,24.777500,24.190001,24.240000,22.258961,283192000
2016-01-11,24.742500,24.764999,24.334999,24.632500,22.619383,198957600
2016-01-12,25.137501,25.172501,24.709999,24.990000,22.947672,196616800
2016-01-13,25.080000,25.297501,24.325001,24.347500,22.357679,249758400
2016-01-14,24.490000,25.120001,23.934999,24.879999,22.846653,252680400
2016-01-15,24.049999,24.427500,23.840000,24.282499,22.297989,319335600
2016-01-19,24.602501,24.662500,23.875000,24.165001,22.190096,212350800
2016-01-20,23.775000,24.547501,23.355000,24.197500,22.219938,289337600
2016-01-21,24.264999,24.469999,23.735001,24.075001,22.107447,208646000
2016-01-22,24.657499,25.365000,24.592501,25.355000,23.282841,263202000
2016-01-25,25.379999,25.382500,24.802500,24.860001,22.828291,207178000
2016-01-26,24.982500,25.219999,24.517500,24.997499,22.954556,300308000
2016-01-27,24.010000,24.157499,23.334999,23.355000,21.446285,533478800
2016-01-28,23.447500,23.629999,23.097500,23.522499,21.600101,222715200
2016-01-29,23.697500,24.334999,23.587500,24.334999,22.346199,257666000
2016-02-01,24.117500,24.177500,23.850000,24.107500,22.137287,163774000
2016-02-02,23.855000,24.010000,23.570000,23.620001,21.689634,149428800
2016-02-03,23.750000,24.209999,23.520000,24.087500,22.118929,183857200
2016-02-04,23.965000,24.332500,23.797501,24.150000,22.296654,185886800
2016-02-05,24.129999,24.230000,23.422501,23.504999,21.701155,185672400
2016-02-08,23.282499,23.924999,23.260000,23.752501,21.929659,216085600
2016-02-09,23.572500,23.985001,23.482500,23.747499,21.925041,177324800
2016-02-10,23.980000,24.087500,23.525000,23.567499,21.758856,169374400
2016-02-11,23.447500,23.680000,23.147499,23.424999,21.627289,200298800
2016-02-12,23.547501,23.625000,23.252501,23.497499,21.694235,161405600
2016-02-16,23.754999,24.212500,23.652500,24.160000,22.305883,196231600
2016-02-17,24.167500,24.552500,24.037500,24.530001,22.647491,179452800
2016-02-18,24.709999,24.722500,24.022499,24.065001,22.218182,156084000
2016-02-19,24.000000,24.190001,23.950001,24.010000,22.167398,141496800
2016-02-22,24.077499,24.225000,23.980000,24.219999,22.361279,137123200
2016-02-23,24.100000,24.125000,23.637501,23.672501,21.855799,127770400
2016-02-24,23.495001,24.094999,23.330000,24.025000,22.181246,145022800
2016-02-25,24.012501,24.190001,23.812500,24.190001,22.333580,110330800
2016-02-26,24.299999,24.504999,24.145000,24.227501,22.368206,115964400
2016-02-29,24.215000,24.557501,24.162500,24.172501,22.317425,140865200
2016-03-01,24.412500,25.192499,24.355000,25.132500,23.203756,201628400
2016-03-02,25.127501,25.222500,24.910000,25.187500,23.254532,132678400
2016-03-03,25.145000,25.427500,25.112499,25.375000,23.427643,147822800
2016-03-04,25.592501,25.937500,25.342501,25.752501,23.776169,184220400
2016-03-07,25.597500,25.707500,25.240000,25.467501,23.513048,143315600
2016-03-08,25.195000,25.440001,25.100000,25.257500,23.319162,126247600
2016-03-09,25.327499,25.395000,25.067499,25.280001,23.339939,108806800
2016-03-10,25.352501,25.559999,25.037500,25.292500,23.351479,134054400
2016-03-11,25.559999,25.570000,25.375000,25.565001,23.603064,109632800
2016-03-14,25.477501,25.727501,25.445000,25.629999,23.663073,100304400
2016-03-15,25.990000,26.295000,25.962500,26.145000,24.138556,160270800
2016-03-16,26.152500,26.577499,26.147499,26.492500,24.459385,153214000
2016-03-17,26.379999,26.617500,26.240000,26.450001,24.420145,137682800
2016-03-18,26.584999,26.625000,26.297501,26.480000,24.447842,176820800
2016-03-21,26.482500,26.912500,26.285000,26.477501,24.445538,142010800
2016-03-22,26.312500,26.822500,26.302500,26.680000,24.632492,129777600
2016-03-23,26.620001,26.767500,26.475000,26.532499,24.496315,102814000
2016-03-24,26.367500,26.562500,26.222500,26.417500,24.390137,104532000
2016-03-28,26.500000,26.547501,26.264999,26.297501,24.279346,77645600
2016-03-29,26.222500,26.947500,26.219999,26.920000,24.854073,124760400
2016-03-30,27.162500,27.605000,27.150000,27.389999,25.288002,182404400
2016-03-31,27.430000,27.475000,27.219999,27.247499,25.156439,103553600
2016-04-01,27.195000,27.500000,27.049999,27.497499,25.387260,103496000
