Date,Open,High,Low,Close,Adj Close,Volume
2012-02-03,6.315833,6.375000,6.282500,6.357083,6.123734,3660000
2012-02-06,6.282500,6.330000,6.261250,6.320833,6.088816,1694400
2012-02-07,6.296250,6.413333,6.240000,6.381250,6.147015,3669600
2012-02-08,6.396250,6.419167,6.307083,6.405000,6.169893,2284800
2012-02-09,6.449583,6.469583,6.352500,6.420417,6.184743,2764800
2012-02-10,6.265417,6.282917,6.200000,6.282083,6.051488,3451200
2012-02-13,6.402500,6.413750,6.316667,6.390000,6.155443,2884800
2012-02-14,6.352500,6.399583,6.270417,6.398333,6.163471,2359200
2012-02-15,6.458333,6.458333,6.238333,6.278750,6.048277,5143200
2012-02-16,6.296667,6.469583,6.291667,6.457917,6.220868,4545600
2012-02-17,6.545417,6.553750,6.474167,6.526667,6.287095,2892000
2012-02-21,6.589167,6.607917,6.489583,6.547917,6.307564,3400800
2012-02-22,6.533750,6.569583,6.470833,6.511250,6.272243,2832000
2012-02-23,6.491250,6.595417,6.425833,6.579167,6.337668,4353600
2012-02-24,6.608750,6.626667,6.532500,6.581667,6.340074,3854400
2012-02-27,6.480417,6.647917,6.426250,6.585833,6.344089,4365600
2012-02-28,6.586250,6.646667,6.550833,6.624167,6.381013,2628000
2012-02-29,6.650000,6.697917,6.505417,6.542917,6.302746,4236000
2012-03-01,6.582917,6.666667,6.535000,6.580000,6.338470,4248000
2012-03-02,6.584583,6.612500,6.502917,6.578333,6.336864,2678400
2012-03-05,6.550833,6.579167,6.433333,6.552500,6.311977,3926400
2012-03-06,6.325417,6.354167,6.212917,6.242917,6.013759,8985600
2012-03-07,6.275000,6.398333,6.256250,6.375833,6.141796,4224000
2012-03-08,6.463333,6.520417,6.413333,6.476250,6.238526,2095200
2012-03-09,6.519583,6.569167,6.475417,6.509167,6.270237,2119200
2012-03-12,6.502083,6.579167,6.498333,6.553333,6.312781,2448000
2012-03-13,6.646250,6.900417,6.610833,6.896250,6.643110,7286400
2012-03-14,6.910000,6.964167,6.878333,6.926667,6.672411,3276000
2012-03-15,6.944167,7.014583,6.885417,7.006250,6.749071,2942400
2012-03-16,7.062083,7.075000,6.981667,6.988333,6.731813,3763200
2012-03-19,6.954583,7.041250,6.945000,6.989167,6.732617,5076000
2012-03-20,6.878750,6.930833,6.806667,6.881250,6.628662,5544000
2012-03-21,6.892500,6.899167,6.775417,6.801250,6.566746,4622400
2012-03-22,6.680000,6.727500,6.625833,6.675833,6.445652,5503200
2012-03-23,6.674167,6.755833,6.609583,6.738333,6.506000,2253600
2012-03-26,6.863333,6.977083,6.855417,6.972917,6.732495,4113600
2012-03-27,6.990000,7.008750,6.901667,6.906250,6.668126,2241600
