Date,Open,High,Low,Close,Adj Close,Volume
2010-08-31,104.919998,105.980003,104.489998,105.309998,84.010071,273933100
2010-09-01,106.730003,108.610001,106.660004,108.459999,86.522957,256828100
2010-09-02,108.720001,109.489998,108.489998,109.470001,87.328682,156112200
2010-09-03,110.540001,110.989998,109.949997,110.889999,88.461433,212197300
2010-09-07,110.370003,110.510002,109.550003,109.639999,87.464279,141973700
2010-09-08,109.860001,110.849998,109.809998,110.410004,88.078560,149924400
2010-09-09,111.650002,111.680000,110.620003,110.919998,88.485397,147017900
2010-09-10,111.120003,111.610001,110.870003,111.480003,88.932129,127819000
2010-09-13,112.580002,112.949997,112.129997,112.720001,89.921333,178503500
2010-09-14,112.500000,113.290001,112.080002,112.650002,89.865501,209823600
2010-09-15,112.320000,113.209999,111.980003,113.080002,90.208488,168608400
2010-09-16,112.730003,113.120003,112.349998,113.050003,90.184586,199962900
2010-09-17,113.040001,113.150002,112.180000,112.489998,90.218285,195836900
2010-09-20,112.879997,114.459999,112.519997,114.209999,91.597725,214555200
2010-09-21,114.300003,114.839996,113.510002,113.980003,91.413284,268389100
2010-09-22,113.800003,114.440002,113.099998,113.419998,90.964142,191322400
2010-09-23,112.489998,113.669998,112.180000,112.500000,90.226288,202354300
2010-09-24,113.750000,114.900002,113.650002,114.820000,92.086945,209671800
2010-09-27,114.860001,114.989998,114.160004,114.269997,91.645851,128761800
2010-09-28,114.419998,115.040001,113.180000,114.669998,91.966637,209207500
2010-09-29,114.379997,114.910004,114.019997,114.470001,91.806274,179665800
2010-09-30,115.050003,115.790001,113.589996,114.129997,91.533562,287106700
2010-10-01,114.989998,115.120003,113.930000,114.610001,91.918533,174638700
2010-10-04,114.370003,114.849998,113.180000,113.750000,91.228775,166153200
2010-10-05,114.800003,116.320000,114.669998,116.040001,93.065384,229634100
2010-10-06,116.019997,116.330002,115.559998,116.029999,93.057388,148626600
2010-10-07,116.500000,116.529999,115.190002,115.889999,92.945107,164860000
2010-10-08,116.050003,116.860001,115.610001,116.540001,93.466446,177760100
2010-10-11,116.720001,116.970001,116.250000,116.650002,93.554634,103098300
2010-10-12,116.269997,117.349998,115.650002,117.010002,93.843369,182210000
2010-10-13,117.660004,118.550003,117.379997,117.919998,94.573189,194347200
2010-10-14,117.809998,118.010002,116.720001,117.459999,94.204269,217764300
2010-10-15,118.279999,118.349998,116.760002,117.699997,94.396721,243705000
2010-10-18,117.739998,118.669998,117.309998,118.279999,94.861908,141204800
2010-10-19,117.190002,117.849998,116.019997,116.730003,93.618797,280604700
2010-10-20,116.940002,118.440002,116.870003,117.870003,94.533096,200051800
2010-10-21,118.400002,119.089996,117.209999,118.129997,94.741615,221585500
2010-10-22,118.309998,118.529999,118.000000,118.349998,94.918053,108212400
2010-10-25,119.139999,119.760002,118.610001,118.699997,95.198784,151145700
2010-10-26,118.099998,118.839996,117.870003,118.720001,95.214798,158982900
2010-10-27,117.889999,118.510002,117.260002,118.379997,94.942131,190024000
2010-10-28,119.059998,119.110001,117.830002,118.400002,94.958160,168576000
2010-10-29,118.279999,118.720001,118.070000,118.489998,95.030357,144305500
2010-11-01,119.070000,119.750000,117.849998,118.529999,95.062401,174074800
2010-11-02,119.419998,119.750000,119.099998,119.470001,95.816322,158345900
2010-11-03,119.680000,120.019997,118.449997,119.949997,96.201263,226702800
2010-11-04,121.279999,122.320000,119.970001,122.260002,98.053932,215039400
2010-11-05,122.339996,122.919998,122.180000,122.720001,98.422867,180654100
2010-11-08,122.339996,122.690002,121.940002,122.489998,98.238388,156107100
2010-11-09,122.820000,122.949997,121.120003,121.610001,97.532600,186621600
2010-11-10,121.580002,122.160004,120.660004,122.099998,97.925598,221387400
2010-11-11,121.050003,121.820000,120.680000,121.639999,97.556671,158017600
2010-11-12,120.820000,121.349998,119.650002,120.199997,96.401787,239068800
2010-11-15,120.580002,121.050003,119.980003,120.029999,96.265434,163940800
2010-11-16,119.290001,119.489998,117.589996,118.160004,94.765686,299566200
2010-11-17,118.209999,118.709999,117.860001,118.220001,94.813820,172308900
2010-11-18,119.360001,120.389999,119.349998,119.959999,96.209274,197723700
2010-11-19,119.900002,120.339996,119.250000,120.290001,96.473953,156852900
2010-11-22,119.690002,120.239998,118.769997,120.190002,96.393768,181361000
2010-11-23,118.769997,119.019997,117.989998,118.449997,94.998268,222309000
2010-11-24,119.199997,120.230003,119.180000,120.199997,96.401787,140046100
2010-11-26,119.160004,119.809998,118.800003,118.800003,95.278954,76007800
2010-11-29,118.500000,119.480003,117.739998,119.160004,95.567703,223642300
2010-11-30,117.980003,119.169998,117.809998,118.489998,95.030357,233930700
2010-12-01,120.199997,121.239998,120.190002,121.010002,97.051414,221037200
2010-12-02,121.199997,122.650002,121.129997,122.559998,98.294540,191213600
2010-12-03,122.139999,123.029999,122.110001,122.889999,98.559189,151288900
2010-12-06,122.629997,123.040001,122.500000,122.760002,98.454933,103050500
2010-12-07,123.940002,124.010002,122.760002,122.830002,98.511070,206581000
2010-12-08,122.980003,123.379997,122.410004,123.279999,98.871971,138019200
2010-12-09,123.970001,124.019997,123.150002,123.760002,99.256950,123705100
2010-12-10,124.139999,124.599998,123.730003,124.480003,99.834381,117571700
2010-12-13,125.050003,125.199997,124.519997,124.559998,99.898552,133812700
2010-12-14,124.750000,125.230003,124.290001,124.669998,99.986763,147249600
2010-12-15,124.440002,124.930000,123.889999,124.099998,99.529610,160823100
2010-12-16,124.180000,124.910004,123.750000,124.820000,100.107048,185035200
2010-12-17,124.080002,124.459999,123.820000,124.300003,100.214287,141075300
2010-12-20,124.639999,124.900002,123.980003,124.599998,100.456146,119085500
2010-12-21,124.989998,125.470001,124.870003,125.389999,101.093109,94965500
2010-12-22,125.480003,125.820000,125.410004,125.779999,101.407509,78878100
2010-12-23,125.639999,125.779999,125.290001,125.599998,101.262398,70053700
2010-12-27,125.129997,125.769997,125.040001,125.650002,101.302704,58126000
2010-12-28,125.900002,125.949997,125.500000,125.830002,101.447830,55309100
2010-12-29,125.980003,126.199997,125.900002,125.919998,101.520378,58033100
2010-12-30,125.800003,126.129997,125.529999,125.720001,101.359146,76616900
2010-12-31,125.529999,125.870003,125.330002,125.750000,101.383339,91218900
2011-01-03,126.709999,127.599998,125.699997,127.050003,102.431427,138725200
2011-01-04,127.330002,127.370003,126.190002,126.980003,102.374985,137409700
2011-01-05,126.580002,127.720001,126.459999,127.639999,102.907104,133975300
2011-01-06,127.690002,127.830002,127.010002,127.389999,102.705559,122519000
2011-01-07,127.559998,127.769997,126.150002,127.139999,102.503975,156034600
2011-01-10,126.580002,127.160004,126.199997,126.980003,102.374985,122401700
2011-01-11,127.440002,127.739998,126.949997,127.430000,102.737793,110287000
2011-01-12,128.210007,128.720001,127.459999,128.580002,103.664955,107929200
2011-01-13,128.630005,128.690002,128.050003,128.369995,103.495667,129048400
2011-01-14,128.190002,129.330002,128.100006,129.300003,104.245453,117677900
2011-01-18,129.179993,129.639999,129.029999,129.520004,104.422821,114401300
2011-01-19,129.410004,129.539993,127.910004,128.250000,103.398903,151958400
2011-01-20,127.959999,128.399994,127.129997,128.080002,103.261826,175745700
2011-01-21,128.880005,129.169998,128.229996,128.369995,103.495667,151462900
2011-01-24,128.289993,129.250000,128.259995,129.100006,104.084198,113715500
2011-01-25,128.759995,129.279999,128.110001,129.169998,104.140625,167552200
2011-01-26,129.490005,130.050003,129.229996,129.669998,104.543762,141281500
2011-01-27,129.699997,130.210007,129.470001,129.990005,104.801750,123302700
2011-01-28,130.139999,130.350006,127.510002,127.720001,102.971619,295637300
2011-01-31,128.070007,128.779999,127.750000,128.679993,103.745567,149249200
2011-02-01,129.460007,130.970001,129.380005,130.740005,105.406425,167194300
2011-02-02,130.399994,130.839996,130.330002,130.490005,105.204842,118323600
2011-02-03,130.259995,130.979996,129.570007,130.779999,105.438667,145886700
2011-02-04,130.830002,131.199997,130.229996,131.149994,105.736954,134634800
2011-02-07,131.440002,132.399994,131.429993,131.970001,106.398071,112439100
2011-02-08,132.089996,132.639999,131.729996,132.570007,106.881821,99072800
2011-02-09,132.210007,132.630005,131.610001,132.270004,106.639954,146436700
2011-02-10,131.600006,132.470001,131.300003,132.320007,106.680252,162708500
2011-02-11,131.800003,133.279999,131.770004,133.110001,107.317169,137710300
2011-02-14,133.029999,133.539993,132.880005,133.429993,107.575188,101690700
2011-02-15,133.020004,133.220001,132.320007,133.009995,107.236534,119575400
2011-02-16,133.460007,134.009995,133.190002,133.850006,107.913773,130183500
2011-02-17,133.460007,134.429993,133.339996,134.250000,108.236275,109810500
2011-02-18,134.369995,134.690002,134.059998,134.529999,108.462029,130002400
2011-02-22,133.119995,134.559998,131.470001,131.830002,106.285210,233116400
2011-02-23,131.750000,132.070007,130.210007,131.020004,105.632172,227584000
2011-02-24,130.880005,131.440002,129.699997,130.929993,105.559586,260431400
2011-02-25,131.479996,132.410004,131.399994,132.330002,106.688332,141686900
2011-02-28,132.820007,133.320007,132.380005,133.149994,107.349442,141585500
2011-03-01,133.570007,133.690002,130.889999,130.929993,105.559586,258565500
2011-03-02,130.750000,131.820007,130.350006,131.210007,105.785339,200277400
2011-03-03,132.399994,133.619995,132.389999,133.470001,107.607430,176480100
2011-03-04,133.369995,133.630005,131.600006,132.470001,106.801193,277202300
2011-03-07,132.860001,133.160004,130.740005,131.429993,105.962685,216790400
2011-03-08,131.639999,133.000000,131.070007,132.580002,106.889870,174615000
2011-03-09,132.320007,132.800003,131.600006,132.389999,106.736694,153806000
2011-03-10,131.000000,131.179993,129.809998,129.940002,104.761452,301291800
2011-03-11,129.520004,131.309998,129.490005,130.839996,105.487030,225621800
2011-03-14,129.990005,130.479996,129.059998,130.050003,104.850143,234974100
2011-03-15,126.589996,129.330002,126.500000,128.559998,103.648842,359585400
2011-03-16,128.149994,128.570007,125.279999,126.180000,101.730034,468670300
2011-03-17,128.000000,128.389999,127.099998,127.849998,103.076393,254303700
2011-03-18,128.839996,128.880005,127.510002,127.760002,103.451317,230435400
2011-03-21,129.350006,130.009995,129.199997,129.740005,105.054604,153992600
2011-03-22,129.720001,129.889999,129.169998,129.289993,104.690216,129538600
2011-03-23,128.929993,130.000000,128.320007,129.660004,104.989807,148603100
2011-03-24,130.399994,131.089996,129.669998,130.899994,105.993881,159129800
2011-03-25,131.240005,131.869995,130.889999,131.300003,106.317772,155642800
2011-03-28,131.580002,131.919998,130.940002,130.979996,106.058647,109762400
2011-03-29,130.869995,131.899994,130.440002,131.860001,106.771217,129798800
2011-03-30,132.550003,133.160004,132.360001,132.770004,107.508064,135835000
2011-03-31,132.600006,132.960007,132.449997,132.589996,107.362320,132537100
2011-04-01,133.410004,133.770004,132.830002,133.149994,107.815773,153850100
2011-04-04,133.429993,133.669998,132.880005,133.259995,107.904823,100768900
2011-04-05,133.000000,133.830002,132.940002,133.240005,107.888657,120791500
2011-04-06,133.880005,134.000000,133.119995,133.660004,108.228745,120411600
2011-04-07,133.419998,133.979996,132.660004,133.320007,107.953430,170731500
2011-04-08,133.910004,133.990005,132.309998,132.860001,107.580963,147945400
2011-04-11,133.000000,133.449997,132.139999,132.460007,107.257042,121385400
2011-04-12,131.720001,131.979996,130.990005,131.470001,106.455414,161187400
2011-04-13,132.080002,132.179993,130.960007,131.460007,106.447319,162059000
2011-04-14,130.699997,131.759995,130.270004,131.559998,106.528275,161220400
2011-04-15,131.800003,132.369995,131.410004,132.039993,106.916977,170006700
2011-04-18,130.589996,132.029999,129.509995,130.559998,105.718597,210759300
2011-04-19,130.759995,131.350006,130.440002,131.309998,106.325867,124258800
2011-04-20,132.880005,133.389999,132.789993,133.100006,107.775276,156133800
2011-04-21,133.789993,133.839996,133.100006,133.779999,108.325905,135935400
2011-04-25,133.679993,133.860001,133.199997,133.639999,108.212532,65757100
2011-04-26,134.050003,135.059998,133.910004,134.789993,109.143730,146600000
