Date,Open,High,Low,Close,Adj Close,Volume
2012-11-15,6.000000,6.160000,5.925000,5.990000,5.788332,1427200
2012-11-16,6.005000,6.075000,5.880000,6.043750,5.840271,1401600
2012-11-19,6.208750,6.352500,6.185000,6.352500,6.138627,2276800
2012-11-20,6.290000,6.375000,6.218750,6.345000,6.131379,1787200
2012-11-21,6.348750,6.431250,6.335000,6.413750,6.197815,1359200
2012-11-23,6.493750,6.681250,6.493750,6.681250,6.456308,1143200
2012-11-26,6.558750,6.625000,6.512500,6.625000,6.401952,2052800
2012-11-27,6.571250,6.662500,6.470000,6.486250,6.267872,1424000
2012-11-28,6.420000,6.650000,6.317500,6.470000,6.252171,2996000
2012-11-29,6.723750,6.775000,6.620000,6.712500,6.486506,3096800
2012-11-30,6.741250,6.758750,6.657500,6.700000,6.474427,966400
2012-12-03,6.802500,6.813750,6.617500,6.620000,6.397120,1084000
2012-12-04,6.632500,6.707500,6.590000,6.601250,6.379002,865600
2012-12-05,6.653750,6.806250,6.558750,6.718750,6.492546,1724000
2012-12-06,6.737500,6.802500,6.701250,6.791250,6.562605,727200
2012-12-07,6.891250,6.931250,6.816250,6.917500,6.684605,822400
2012-12-10,6.938750,6.993750,6.937500,6.956250,6.722050,767200
2012-12-11,7.031250,7.165000,7.031250,7.075000,6.836801,2448800
2012-12-12,7.155000,7.210000,7.048750,7.075000,6.836801,1569600
2012-12-13,7.080000,7.102500,6.923750,6.967500,6.732920,1124800
2012-12-14,6.950000,6.986250,6.878750,6.901250,6.668901,884000
2012-12-17,6.941250,7.077500,6.935000,7.061250,6.823514,1968000
2012-12-18,7.107500,7.266250,7.065000,7.243750,6.999870,1720800
2012-12-19,7.263750,7.263750,7.088750,7.095000,6.856128,1352800
2012-12-20,7.076250,7.186250,7.036250,7.180000,6.938265,1272800
2012-12-21,6.891250,7.058750,6.862500,7.005000,6.769158,2256800
2012-12-24,6.946250,6.960000,6.893750,6.905000,6.672526,791200
2012-12-26,6.930000,6.968750,6.813750,6.868750,6.637496,806400
2012-12-27,6.876250,6.908750,6.625000,6.837500,6.607298,2184800
2012-12-28,6.701250,6.795000,6.575000,6.582500,6.360882,1532000
2012-12-31,6.530000,6.857500,6.510000,6.841250,6.610922,5202400
2013-01-02,7.196250,7.327500,7.178750,7.298750,7.053017,3895200
2013-01-03,7.295000,7.361250,7.248750,7.286250,7.040938,1196000
2013-01-04,7.301250,7.381250,7.271250,7.357500,7.109790,947200
2013-01-07,7.305000,7.307500,7.212500,7.285000,7.039730,1204800
2013-01-08,7.236250,7.266250,7.155000,7.202500,6.960009,944800
2013-01-09,7.268750,7.346250,7.257500,7.300000,7.054227,1070400
2013-01-10,7.386250,7.443750,7.291250,7.438750,7.188304,1693600
2013-01-11,7.437500,7.477500,7.387500,7.456250,7.205216,883200
2013-01-14,7.468750,7.512500,7.418750,7.498750,7.246285,754400
2013-01-15,7.398750,7.556250,7.391250,7.532500,7.278899,902400
2013-01-16,7.455000,7.522500,7.440000,7.493750,7.241455,1013600
